rank,candidate_id,job_role,final_score,scoring_mode,skill_score,experience_score,education_score,semantic_score,rating,recommendation,priority,zone,explanation,bias_flags,missing_scores,rejection_reasons,source_file
35,Resume_2_Clinical_Data_Analyst_skills,cost & utilization analyst,66.55,passthrough,87.0,77.0,68.0,14.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=66.55 between 50.0 and 70.0. Top drivers: ATS match=67, Skill match=87, Experience=77.",,,,ranked_cost_utilization_analyst_healthcare_parsed_jd.json
36,Resume_2_Clinical_Data_Analyst_skills,healthcare operations analyst,66.55,passthrough,87.0,77.0,68.0,14.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=66.55 between 50.0 and 70.0. Top drivers: ATS match=67, Skill match=87, Experience=77.",,,,ranked_Healthcare_Operations_Analyst_parsed_jd.json
37,Resume_2_Clinical_Data_Analyst_skills,healthcare data scientist,66.5,passthrough,87.0,71.0,68.0,14.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=66.5 between 50.0 and 70.0. Top drivers: ATS match=66, Skill match=87, Experience=71.",,,,ranked_Healthcare_Data_Scientist_parsed_jd.json
38,Resume_2_Clinical_Data_Analyst_skills,healthcare data integration specialist,66.25,passthrough,87.0,76.0,68.0,14.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=66.25 between 50.0 and 70.0. Top drivers: ATS match=66, Skill match=87, Experience=76.",,,,ranked_Healthcare_Data_Integration_Specialist_parsed_jd.json
39,Resume_2_Clinical_Data_Analyst_skills,healthcare outcomes analyst,66.25,passthrough,87.0,72.0,68.0,20.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=66.25 between 50.0 and 70.0. Top drivers: ATS match=66, Skill match=87, Experience=72.",,,,ranked_Healthcare_Outcomes_Analyst_parsed_jd.json
40,Resume_2_Clinical_Data_Analyst_skills,healthcare performance analyst,66.05,passthrough,87.0,74.0,68.0,16.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=66.05 between 50.0 and 70.0. Top drivers: ATS match=66, Skill match=87, Experience=74.",,,,ranked_Healthcare_Performance_Analyst_parsed_jd.json
41,Resume_2_Clinical_Data_Analyst_skills,healthcare ai analyst,65.95,passthrough,87.0,79.0,68.0,8.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=65.95 between 50.0 and 70.0. Top drivers: ATS match=66, Skill match=87, Experience=79.",,,,ranked_Healthcare_AI_Analyst_parsed_jd.json
42,Resume_2_Clinical_Data_Analyst_skills,healthcare reporting analyst,65.95,passthrough,87.0,75.0,68.0,14.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=65.95 between 50.0 and 70.0. Top drivers: ATS match=66, Skill match=87, Experience=75.",,,,ranked_Healthcare_Reporting_Analyst_parsed_jd.json
43,Resume_2_Clinical_Data_Analyst_skills,patient experience analyst,65.15,passthrough,87.0,69.0,68.0,19.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=65.15 between 50.0 and 70.0. Top drivers: ATS match=65, Skill match=87, Experience=69.",,,,ranked_Patient_Experience_Analyst_parsed_jd.json
44,Amala_Resume_DS_DA_2026__skills,healthcare machine learning engineer,65.05,passthrough,90.0,51.0,36.0,41.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=65.05 between 50.0 and 70.0. Top drivers: ATS match=65, Skill match=90, Experience=51.",,,,Amala_Resume_DS_DA_2026__skills__Healthcare_Machine_Learning_Engineer_parsed_jd.json
45,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare bi (business intelligence) analyst,64.95,passthrough,90.0,65.0,53.0,30.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.95 between 50.0 and 70.0. Top drivers: ATS match=65, Skill match=90, Experience=65.",,,,ranked_Healthcare_BI_(Business_Intelligence)_Analyst_parsed_jd.json
46,Resume_2_Clinical_Data_Analyst_skills,data analytics trainer,64.95,passthrough,87.0,73.0,68.0,12.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.95 between 50.0 and 70.0. Top drivers: ATS match=65, Skill match=87, Experience=73.",,,,ranked_Data_Analytics_Trainer_Healthcare_parsed_jd.json
47,Resume_2_Clinical_Data_Analyst_skills,healthcare financial analyst,64.95,passthrough,87.0,73.0,68.0,12.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.95 between 50.0 and 70.0. Top drivers: ATS match=65, Skill match=87, Experience=73.",,,,ranked_Healthcare_Financial_Analyst_parsed_jd.json
48,Resume_2_Clinical_Data_Analyst_skills,predictive analytics specialist,64.85,passthrough,87.0,76.0,68.0,7.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.85 between 50.0 and 70.0. Top drivers: ATS match=65, Skill match=87, Experience=76.",,,,ranked_Predictive_Analytics_Specialist_parsed_jd.json
49,Resume_6_Data_Entry_Analyst_Healthcare_skills,lead data analyst (healthcare),64.8,passthrough,82.0,92.0,34.0,17.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.8 between 50.0 and 70.0. Top drivers: ATS match=65, Skill match=82, Experience=92.",,,,ranked_Lead_Data_Analyst_Healthcare_parsed_jd.json
50,Resume_2_Clinical_Data_Analyst_skills,health information analyst,64.45,passthrough,87.0,76.0,68.0,5.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.45 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=87, Experience=76.",,,,ranked_Health_Information_Analyst_parsed_jd.json
51,Resume_2_Clinical_Data_Analyst_skills,healthcare business analyst,64.45,passthrough,87.0,72.0,68.0,11.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.45 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=87, Experience=72.",,,,ranked_Healthcare_Business_Analyst_parsed_jd.json
52,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare data analyst,64.35,passthrough,90.0,59.0,53.0,36.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.35 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=90, Experience=59.",,,,ranked_Healthcare_Data_Analyst_parsed_jd.json
53,Resume_2_Clinical_Data_Analyst_skills,quality improvement analyst (healthcare),64.35,passthrough,87.0,73.0,68.0,9.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.35 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=87, Experience=73.",,,,ranked_quality_improvement_analyst_(healthcare)_parsed_jd.json
54,Resume_6_Data_Entry_Analyst_Healthcare_skills,healthcare data architect,64.3,passthrough,82.0,80.0,34.0,20.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.3 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=82, Experience=80.",,,,ranked_Healthcare_Data_Architect_parsed_jd.json
55,Resume_6_Data_Entry_Analyst_Healthcare_skills,healthcare data analyst (junior),64.2,passthrough,82.0,92.0,34.0,14.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.2 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=82, Experience=92.",,,,ranked_healthcare_data_analyst_(junior)_parsed_jd.json
56,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare data analyst (junior),64.05,passthrough,90.0,66.0,53.0,24.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.05 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=90, Experience=66.",,,,ranked_healthcare_data_analyst_(junior)_parsed_jd.json
57,Resume_2_Clinical_Data_Analyst_skills,healthcare bi (business intelligence) analyst,64.05,passthrough,87.0,72.0,68.0,9.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.05 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=87, Experience=72.",,,,ranked_Healthcare_BI_(Business_Intelligence)_Analyst_parsed_jd.json
58,Resume_2_Clinical_Data_Analyst_skills,real world evidence (rwe) analyst,64.05,passthrough,87.0,72.0,68.0,9.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=64.05 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=87, Experience=72.",,,,ranked_Real-World_Evidence_(RWE)_Analyst_parsed_jd.json
59,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare data integration specialist,63.95,passthrough,90.0,69.0,53.0,19.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.95 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=90, Experience=69.",,,,ranked_Healthcare_Data_Integration_Specialist_parsed_jd.json
60,Resume_6_Data_Entry_Analyst_Healthcare_skills,healthcare data scientist,63.95,passthrough,82.0,81.0,34.0,17.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.95 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=82, Experience=81.",,,,ranked_Healthcare_Data_Scientist_parsed_jd.json
61,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare dashboard developer,63.9,passthrough,90.0,50.0,53.0,28.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.9 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=90, Experience=50.",,,,ranked_Healthcare_Dashboard_Developer_parsed_jd.json
62,Resume_6_Data_Entry_Analyst_Healthcare_skills,healthcare data integration specialist,63.8,passthrough,82.0,86.0,34.0,21.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.8 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=82, Experience=86.",,,,ranked_Healthcare_Data_Integration_Specialist_parsed_jd.json
63,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare operations analyst,63.75,passthrough,90.0,69.0,53.0,18.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.75 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=90, Experience=69.",,,,ranked_Healthcare_Operations_Analyst_parsed_jd.json
64,Resume_3_Healthcare_Reporting_Analyst_skills,freelance healthcare data analyst,63.75,passthrough,90.0,59.0,53.0,33.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.75 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=90, Experience=59.",,,,ranked_Freelance_Healthcare_Data_Analyst_parsed_jd.json
65,Resume_2_Clinical_Data_Analyst_skills,healthcare analytics consultant,63.75,passthrough,87.0,69.0,68.0,12.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.75 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=87, Experience=69.",,,,ranked_Healthcare_Analytics_Consultant_parsed_jd.json
66,Resume_6_Data_Entry_Analyst_Healthcare_skills,clinical data scientist,63.75,passthrough,82.0,69.0,34.0,31.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.75 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=82, Experience=69.",,,,ranked_Clinical_Data_Scientist_parsed_jd.json
67,Resume_6_Data_Entry_Analyst_Healthcare_skills,senior healthcare data analyst,63.7,passthrough,82.0,89.0,34.0,16.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.7 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=82, Experience=89.",,,,ranked_Senior_Healthcare_Data_Analyst_parsed_jd.json
68,Resume_6_Data_Entry_Analyst_Healthcare_skills,ehr data analyst,63.7,passthrough,82.0,81.0,34.0,28.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.7 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=82, Experience=81.",,,,ranked_EHR_Data_Analyst_Electronic_Health_parsed_jd.json
69,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare data scientist,63.6,passthrough,90.0,56.0,53.0,19.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.6 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=90, Experience=56.",,,,ranked_Healthcare_Data_Scientist_parsed_jd.json
70,Resume_6_Data_Entry_Analyst_Healthcare_skills,global health data analyst,63.6,passthrough,82.0,82.0,34.0,26.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.6 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=82, Experience=82.",,,,ranked_Global_Health_Data_Analyst_parsed_jd.json
71,Resume_6_Data_Entry_Analyst_Healthcare_skills,clinical data analyst,63.6,passthrough,82.0,78.0,34.0,32.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.6 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=82, Experience=78.",,,,ranked_Clinical_Data_Analyst_parsed_jd.json
72,Resume_3_Healthcare_Reporting_Analyst_skills,senior healthcare data analyst,63.55,passthrough,90.0,63.0,53.0,26.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.55 between 50.0 and 70.0. Top drivers: ATS match=64, Skill match=90, Experience=63.",,,,ranked_Senior_Healthcare_Data_Analyst_parsed_jd.json
73,Resume_2_Clinical_Data_Analyst_skills,chief data officer,63.35,passthrough,87.0,67.0,68.0,13.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.35 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=87, Experience=67.",,,,ranked_Chief_Data_Officer_Healthcare_parsed_jd.json
74,Resume_2_Clinical_Data_Analyst_skills,director of healthcare analytics,63.3,passthrough,87.0,72.0,68.0,8.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.3 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=87, Experience=72.",,,,ranked_Director_of_Healthcare_Analytics_parsed_jd.json
75,Resume_6_Data_Entry_Analyst_Healthcare_skills,remote clinical data analyst,63.3,passthrough,82.0,75.0,34.0,35.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.3 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=82, Experience=75.",,,,ranked_Remote_Clinical_Data_Analyst_parsed_jd.json
76,Resume_2_Clinical_Data_Analyst_skills,health policy analyst,63.25,passthrough,87.0,74.0,68.0,2.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.25 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=87, Experience=74.",,,,ranked_Health_Policy_Analyst_parsed_jd.json
77,Resume_2_Clinical_Data_Analyst_skills,healthcare dashboard developer,63.25,passthrough,87.0,58.0,68.0,14.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.25 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=87, Experience=58.",,,,ranked_Healthcare_Dashboard_Developer_parsed_jd.json
78,Resume_2_Clinical_Data_Analyst_skills,ai specialist in healthcare analytics,63.15,passthrough,87.0,71.0,68.0,6.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.15 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=87, Experience=71.",,,,ranked_ai_specialist_in_healthcare_analytics_parsed_jd.json
79,Resume_2_Clinical_Data_Analyst_skills,healthcare analytics manager,63.1,passthrough,87.0,72.0,68.0,7.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.1 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=87, Experience=72.",,,,ranked_Healthcare_Analytics_Manager_parsed_jd.json
80,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare performance analyst,63.05,passthrough,90.0,66.0,53.0,19.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.05 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=90, Experience=66.",,,,ranked_Healthcare_Performance_Analyst_parsed_jd.json
81,Resume_6_Data_Entry_Analyst_Healthcare_skills,wearable health data analyst,63.0,passthrough,82.0,82.0,34.0,23.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=63.0 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=82, Experience=82.",,,,ranked_Wearable_Health_Data_Analyst_parsed_jd.json
82,Resume_2_Clinical_Data_Analyst_skills,epidemiologist,62.95,passthrough,87.0,67.0,68.0,11.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.95 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=87, Experience=67.",,,,ranked_epidemiologist_datafocused_parsed_jd.json
83,Resume_6_Data_Entry_Analyst_Healthcare_skills,director of healthcare analytics,62.8,passthrough,82.0,81.0,34.0,12.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.8 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=82, Experience=81.",,,,ranked_Director_of_Healthcare_Analytics_parsed_jd.json
84,Resume_6_Data_Entry_Analyst_Healthcare_skills,healthcare analytics manager,62.8,passthrough,82.0,80.0,34.0,14.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.8 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=82, Experience=80.",,,,ranked_Healthcare_Analytics_Manager_parsed_jd.json
85,Resume_6_Data_Entry_Analyst_Healthcare_skills,senior clinical data analyst,62.8,passthrough,82.0,76.0,34.0,31.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.8 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=82, Experience=76.",,,,ranked_Senior_Clinical_Data_Analyst_parsed_jd.json
86,Resume_3_Healthcare_Reporting_Analyst_skills,lead data analyst (healthcare),62.65,passthrough,90.0,66.0,53.0,17.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.65 between 50.0 and 70.0. Top drivers: ATS match=63, Skill match=90, Experience=66.",,,,ranked_Lead_Data_Analyst_Healthcare_parsed_jd.json
87,Resume_6_Data_Entry_Analyst_Healthcare_skills,healthcare program analyst,62.5,passthrough,82.0,83.0,34.0,19.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.5 between 50.0 and 70.0. Top drivers: ATS match=62, Skill match=82, Experience=83.",,,,ranked_Healthcare_Program_Analyst_parsed_jd.json
88,Resume_6_Data_Entry_Analyst_Healthcare_skills,healthcare business analyst,62.3,passthrough,82.0,83.0,34.0,18.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.3 between 50.0 and 70.0. Top drivers: ATS match=62, Skill match=82, Experience=83.",,,,ranked_Healthcare_Business_Analyst_parsed_jd.json
89,Resume_6_Data_Entry_Analyst_Healthcare_skills,healthcare data analyst,62.2,passthrough,82.0,84.0,34.0,16.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.2 between 50.0 and 70.0. Top drivers: ATS match=62, Skill match=82, Experience=84.",,,,ranked_Healthcare_Data_Analyst_parsed_jd.json
90,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare program analyst,62.15,passthrough,90.0,67.0,53.0,13.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.15 between 50.0 and 70.0. Top drivers: ATS match=62, Skill match=90, Experience=67.",,,,ranked_Healthcare_Program_Analyst_parsed_jd.json
91,Resume_3_Healthcare_Reporting_Analyst_skills,global health data analyst,62.15,passthrough,90.0,63.0,53.0,19.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.15 between 50.0 and 70.0. Top drivers: ATS match=62, Skill match=90, Experience=63.",,,,ranked_Global_Health_Data_Analyst_parsed_jd.json
92,Resume_6_Data_Entry_Analyst_Healthcare_skills,public health data analyst (entry-level),62.1,passthrough,82.0,83.0,34.0,17.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.1 between 50.0 and 70.0. Top drivers: ATS match=62, Skill match=82, Experience=83.",,,,ranked_public_health_data_analyst_entrylevel_parsed_jd.json
93,Amala_Resume_DS_DA_2026__skills,healthcare data scientist,62.0,passthrough,90.0,46.0,36.0,32.0,Moderate Fit,Consider if strong candidates are limited,Medium,review,"Review: final=62.0 between 50.0 and 70.0. Top drivers: ATS match=62, Skill match=90, Experience=46.",,,,Amala_Resume_DS_DA_2026__skills__Healthcare_Data_Scientist_parsed_jd.json
