rank,resume_id,jd_id,job_role,final_score,skill_match,experience_relevance,education_alignment,semantic_similarity,weight_strategy,rating,recommendation,priority
25,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Data_Architect_parsed_jd,healthcare data architect,67.9,87,71,68,21,technical,Moderate Fit,Consider if strong candidates are limited,Medium
26,Resume_2_Clinical_Data_Analyst_skills,Population_Health_Analyst_parsed_jd,population health analyst,67.65,87,84,68,9,default,Moderate Fit,Consider if strong candidates are limited,Medium
27,Resume_2_Clinical_Data_Analyst_skills,Data_Entry_Analyst_Healthcare_parsed_jd,data entry analyst (healthcare),67.55,87,81,68,26,fresher,Moderate Fit,Consider if strong candidates are limited,Medium
28,Resume_2_Clinical_Data_Analyst_skills,Insurance_Claims_Analyst_parsed_jd,insurance claims analyst,67.55,87,81,68,13,default,Moderate Fit,Consider if strong candidates are limited,Medium
29,Resume_2_Clinical_Data_Analyst_skills,fraud_compliance_analyst_parsed_jd,fraud & compliance analyst,67.25,87,74,68,22,default,Moderate Fit,Consider if strong candidates are limited,Medium
30,Resume_2_Clinical_Data_Analyst_skills,Health_Informatics_Specialist_parsed_jd,health informatics specialist,67.15,87,75,68,20,default,Moderate Fit,Consider if strong candidates are limited,Medium
31,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Program_Analyst_parsed_jd,healthcare program analyst,67.15,87,75,68,20,default,Moderate Fit,Consider if strong candidates are limited,Medium
32,Resume_2_Clinical_Data_Analyst_skills,public_health_data_analyst_entrylevel_parsed_jd,public health data analyst (entry-level),67.15,87,77,68,17,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
33,Resume_2_Clinical_Data_Analyst_skills,Revenue_Cycle_Data_Analyst_parsed_jd,revenue cycle data analyst,67.05,87,80,68,12,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
34,Resume_2_Clinical_Data_Analyst_skills,Public_Health_Analyst_parsed_jd,public health analyst,66.95,87,81,68,10,default,Moderate Fit,Consider if strong candidates are limited,Medium
35,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Operations_Analyst_parsed_jd,healthcare operations analyst,66.55,87,77,68,14,default,Moderate Fit,Consider if strong candidates are limited,Medium
36,Resume_2_Clinical_Data_Analyst_skills,cost_utilization_analyst_healthcare_parsed_jd,cost & utilization analyst,66.55,87,77,68,14,default,Moderate Fit,Consider if strong candidates are limited,Medium
37,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Data_Scientist_parsed_jd,healthcare data scientist,66.5,87,71,68,14,technical,Moderate Fit,Consider if strong candidates are limited,Medium
38,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Data_Integration_Specialist_parsed_jd,healthcare data integration specialist,66.25,87,76,68,14,default,Moderate Fit,Consider if strong candidates are limited,Medium
39,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Outcomes_Analyst_parsed_jd,healthcare outcomes analyst,66.25,87,72,68,20,default,Moderate Fit,Consider if strong candidates are limited,Medium
40,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Performance_Analyst_parsed_jd,healthcare performance analyst,66.05,87,74,68,16,default,Moderate Fit,Consider if strong candidates are limited,Medium
41,Resume_2_Clinical_Data_Analyst_skills,Healthcare_AI_Analyst_parsed_jd,healthcare ai analyst,65.95,87,79,68,8,default,Moderate Fit,Consider if strong candidates are limited,Medium
42,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Reporting_Analyst_parsed_jd,healthcare reporting analyst,65.95,87,75,68,14,default,Moderate Fit,Consider if strong candidates are limited,Medium
43,Resume_2_Clinical_Data_Analyst_skills,Patient_Experience_Analyst_parsed_jd,patient experience analyst,65.15,87,69,68,19,default,Moderate Fit,Consider if strong candidates are limited,Medium
44,Amala_Resume_DS_DA_2026__skills,Healthcare_Machine_Learning_Engineer_parsed_jd,healthcare machine learning engineer,65.05,90,51,36,41,technical,Moderate Fit,Consider if strong candidates are limited,Medium
45,Resume_2_Clinical_Data_Analyst_skills,Data_Analytics_Trainer_Healthcare_parsed_jd,data analytics trainer,64.95,87,73,68,12,default,Moderate Fit,Consider if strong candidates are limited,Medium
46,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Financial_Analyst_parsed_jd,healthcare financial analyst,64.95,87,73,68,12,default,Moderate Fit,Consider if strong candidates are limited,Medium
47,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare BI (Business Intelligence) Analyst_parsed_jd,healthcare bi (business intelligence) analyst,64.95,90,65,53,30,default,Moderate Fit,Consider if strong candidates are limited,Medium
48,Resume_2_Clinical_Data_Analyst_skills,Predictive_Analytics_Specialist_parsed_jd,predictive analytics specialist,64.85,87,76,68,7,default,Moderate Fit,Consider if strong candidates are limited,Medium
49,Resume_6_Data_Entry_Analyst_Healthcare_skills,Lead_Data_Analyst_Healthcare_parsed_jd,lead data analyst (healthcare),64.8,82,92,34,17,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
50,Resume_2_Clinical_Data_Analyst_skills,Health_Information_Analyst_parsed_jd,health information analyst,64.45,87,76,68,5,default,Moderate Fit,Consider if strong candidates are limited,Medium
51,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Business_Analyst_parsed_jd,healthcare business analyst,64.45,87,72,68,11,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
52,Resume_2_Clinical_Data_Analyst_skills,Revenue_Cycle_Analyst_parsed_jd,revenue cycle data analyst,64.45,87,74,68,8,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
53,Resume_2_Clinical_Data_Analyst_skills,quality improvement analyst (healthcare)_parsed_jd,quality improvement analyst (healthcare),64.35,87,73,68,9,default,Moderate Fit,Consider if strong candidates are limited,Medium
54,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Data_Analyst_parsed_jd,healthcare data analyst,64.35,90,59,53,36,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
55,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Data_Architect_parsed_jd,healthcare data architect,64.3,82,80,34,20,technical,Moderate Fit,Consider if strong candidates are limited,Medium
56,Resume_6_Data_Entry_Analyst_Healthcare_skills,healthcare data analyst (junior)_parsed_jd,healthcare data analyst (junior),64.2,82,92,34,14,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
57,Resume_2_Clinical_Data_Analyst_skills,Healthcare BI (Business Intelligence) Analyst_parsed_jd,healthcare bi (business intelligence) analyst,64.05,87,72,68,9,default,Moderate Fit,Consider if strong candidates are limited,Medium
58,Resume_2_Clinical_Data_Analyst_skills,Real-World Evidence (RWE) Analyst_parsed_jd,real world evidence (rwe) analyst,64.05,87,72,68,9,default,Moderate Fit,Consider if strong candidates are limited,Medium
59,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare data analyst (junior)_parsed_jd,healthcare data analyst (junior),64.05,90,66,53,24,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
60,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Data_Integration_Specialist_parsed_jd,healthcare data integration specialist,63.95,90,69,53,19,default,Moderate Fit,Consider if strong candidates are limited,Medium
61,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Data_Scientist_parsed_jd,healthcare data scientist,63.95,82,81,34,17,technical,Moderate Fit,Consider if strong candidates are limited,Medium
62,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Dashboard_Developer_parsed_jd,healthcare dashboard developer,63.9,90,50,53,28,technical,Moderate Fit,Consider if strong candidates are limited,Medium
63,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Data_Integration_Specialist_parsed_jd,healthcare data integration specialist,63.8,82,86,34,21,default,Moderate Fit,Consider if strong candidates are limited,Medium
64,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Analytics_Consultant_parsed_jd,healthcare analytics consultant,63.75,87,69,68,12,default,Moderate Fit,Consider if strong candidates are limited,Medium
65,Resume_3_Healthcare_Reporting_Analyst_skills,Freelance_Healthcare_Data_Analyst_parsed_jd,freelance healthcare data analyst,63.75,90,59,53,33,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
66,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Operations_Analyst_parsed_jd,healthcare operations analyst,63.75,90,69,53,18,default,Moderate Fit,Consider if strong candidates are limited,Medium
67,Resume_6_Data_Entry_Analyst_Healthcare_skills,Clinical_Data_Scientist_parsed_jd,clinical data scientist,63.75,82,69,34,31,technical,Moderate Fit,Consider if strong candidates are limited,Medium
68,Resume_6_Data_Entry_Analyst_Healthcare_skills,EHR_Data_Analyst_Electronic_Health_parsed_jd,ehr data analyst,63.7,82,81,34,28,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
69,Resume_6_Data_Entry_Analyst_Healthcare_skills,Senior_Healthcare_Data_Analyst_parsed_jd,senior healthcare data analyst,63.7,82,89,34,16,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
70,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Data_Scientist_parsed_jd,healthcare data scientist,63.6,90,56,53,19,technical,Moderate Fit,Consider if strong candidates are limited,Medium
71,Resume_6_Data_Entry_Analyst_Healthcare_skills,Clinical_Data_Analyst_parsed_jd,clinical data analyst,63.6,82,78,34,32,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
72,Resume_6_Data_Entry_Analyst_Healthcare_skills,Global_Health_Data_Analyst_parsed_jd,global health data analyst,63.6,82,82,34,26,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
73,Resume_3_Healthcare_Reporting_Analyst_skills,Senior_Healthcare_Data_Analyst_parsed_jd,senior healthcare data analyst,63.55,90,63,53,26,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
74,Resume_2_Clinical_Data_Analyst_skills,Chief_Data_Officer_Healthcare_parsed_jd,chief data officer,63.35,87,67,68,13,default,Moderate Fit,Consider if strong candidates are limited,Medium
75,Resume_2_Clinical_Data_Analyst_skills,Director_of_Healthcare_Analytics_parsed_jd,director of healthcare analytics,63.3,87,72,68,8,senior,Moderate Fit,Consider if strong candidates are limited,Medium
76,Resume_6_Data_Entry_Analyst_Healthcare_skills,Remote_Clinical_Data_Analyst_parsed_jd,remote clinical data analyst,63.3,82,75,34,35,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
77,Resume_2_Clinical_Data_Analyst_skills,Health_Policy_Analyst_parsed_jd,health policy analyst,63.25,87,74,68,2,default,Moderate Fit,Consider if strong candidates are limited,Medium
78,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Dashboard_Developer_parsed_jd,healthcare dashboard developer,63.25,87,58,68,14,technical,Moderate Fit,Consider if strong candidates are limited,Medium
79,Resume_2_Clinical_Data_Analyst_skills,ai specialist in healthcare analytics_parsed_jd,ai specialist in healthcare analytics,63.15,87,71,68,6,default,Moderate Fit,Consider if strong candidates are limited,Medium
80,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Analytics_Manager_parsed_jd,healthcare analytics manager,63.1,87,72,68,7,senior,Moderate Fit,Consider if strong candidates are limited,Medium
81,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Performance_Analyst_parsed_jd,healthcare performance analyst,63.05,90,66,53,19,default,Moderate Fit,Consider if strong candidates are limited,Medium
82,Resume_6_Data_Entry_Analyst_Healthcare_skills,Wearable_Health_Data_Analyst_parsed_jd,wearable health data analyst,63.0,82,82,34,23,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
83,Resume_2_Clinical_Data_Analyst_skills,epidemiologist_datafocused_parsed_jd,epidemiologist,62.95,87,67,68,11,default,Moderate Fit,Consider if strong candidates are limited,Medium
84,Resume_6_Data_Entry_Analyst_Healthcare_skills,Director_of_Healthcare_Analytics_parsed_jd,director of healthcare analytics,62.8,82,81,34,12,senior,Moderate Fit,Consider if strong candidates are limited,Medium
85,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Analytics_Manager_parsed_jd,healthcare analytics manager,62.8,82,80,34,14,senior,Moderate Fit,Consider if strong candidates are limited,Medium
86,Resume_6_Data_Entry_Analyst_Healthcare_skills,Senior_Clinical_Data_Analyst_parsed_jd,senior clinical data analyst,62.8,82,76,34,31,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
87,Resume_3_Healthcare_Reporting_Analyst_skills,Lead_Data_Analyst_Healthcare_parsed_jd,lead data analyst (healthcare),62.65,90,66,53,17,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
88,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Program_Analyst_parsed_jd,healthcare program analyst,62.5,82,83,34,19,default,Moderate Fit,Consider if strong candidates are limited,Medium
89,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Business_Analyst_parsed_jd,healthcare business analyst,62.3,82,83,34,18,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
90,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Data_Analyst_parsed_jd,healthcare data analyst,62.2,82,84,34,16,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
91,Resume_3_Healthcare_Reporting_Analyst_skills,Global_Health_Data_Analyst_parsed_jd,global health data analyst,62.15,90,63,53,19,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
92,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Program_Analyst_parsed_jd,healthcare program analyst,62.15,90,67,53,13,default,Moderate Fit,Consider if strong candidates are limited,Medium
93,Resume_6_Data_Entry_Analyst_Healthcare_skills,public_health_data_analyst_entrylevel_parsed_jd,public health data analyst (entry-level),62.1,82,83,34,17,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
94,Amala_Resume_DS_DA_2026__skills,Healthcare_Data_Scientist_parsed_jd,healthcare data scientist,62.0,90,46,36,32,technical,Moderate Fit,Consider if strong candidates are limited,Medium
95,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Machine_Learning_Engineer_parsed_jd,healthcare machine learning engineer,61.95,87,60,68,5,technical,Moderate Fit,Consider if strong candidates are limited,Medium
96,Resume_2_Clinical_Data_Analyst_skills,healthcare_statistician_biostatistician_parsed_jd,healthcare statistician,61.95,87,55,68,24,default,Moderate Fit,Consider if strong candidates are limited,Medium
97,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Data_Architect_parsed_jd,healthcare data architect,61.9,90,54,53,13,technical,Moderate Fit,Consider if strong candidates are limited,Medium
98,Resume_6_Data_Entry_Analyst_Healthcare_skills,Freelance_Healthcare_Data_Analyst_parsed_jd,freelance healthcare data analyst,61.8,82,84,34,14,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
99,Resume_6_Data_Entry_Analyst_Healthcare_skills,Health_Information_Analyst_parsed_jd,health information analyst,61.8,82,80,34,20,default,Moderate Fit,Consider if strong candidates are limited,Medium
100,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Outcomes_Analyst_parsed_jd,healthcare outcomes analyst,61.8,82,82,34,17,default,Moderate Fit,Consider if strong candidates are limited,Medium
101,Resume_2_Clinical_Data_Analyst_skills,Health_Information_Systems_Analyst_parsed_jd,health information systems analyst,61.75,87,69,68,2,default,Moderate Fit,Consider if strong candidates are limited,Medium
102,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Outcomes_Analyst_parsed_jd,healthcare outcomes analyst,61.75,90,65,53,14,default,Moderate Fit,Consider if strong candidates are limited,Medium
103,Resume_6_Data_Entry_Analyst_Healthcare_skills,Medical_Data_Analyst_parsed_jd,medical data analyst,61.7,82,81,34,18,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
104,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Risk_Analyst_parsed_jd,healthcare risk analyst,61.65,90,68,53,9,default,Moderate Fit,Consider if strong candidates are limited,Medium
105,Resume_5_Health_Information_Analyst_skills,EHR_Data_Analyst_Electronic_Health_parsed_jd,ehr data analyst,61.65,84,52,51,45,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
106,Resume_2_Clinical_Data_Analyst_skills,EHR_Implementation_Analyst_parsed_jd,ehr implementation analyst,61.6,87,70,68,13,non_tech,Moderate Fit,Consider if strong candidates are limited,Medium
107,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Data_Science_Manager_parsed_jd,healthcare data science manager,61.6,82,80,34,8,senior,Moderate Fit,Consider if strong candidates are limited,Medium
108,Resume_3_Healthcare_Reporting_Analyst_skills,Wearable_Health_Data_Analyst_parsed_jd,wearable health data analyst,61.55,90,63,53,16,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
109,Resume_5_Health_Information_Analyst_skills,Health_Information_Analyst_parsed_jd,health information analyst,61.55,84,51,51,46,default,Moderate Fit,Consider if strong candidates are limited,Medium
110,Resume_2_Clinical_Data_Analyst_skills,Healthcare_Data_Science_Manager_parsed_jd,healthcare data science manager,61.5,87,68,68,7,senior,Moderate Fit,Consider if strong candidates are limited,Medium
111,Resume_6_Data_Entry_Analyst_Healthcare_skills,quality improvement analyst (healthcare)_parsed_jd,quality improvement analyst (healthcare),61.5,82,87,34,8,default,Moderate Fit,Consider if strong candidates are limited,Medium
112,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_AI_Analyst_parsed_jd,healthcare ai analyst,61.45,90,68,53,8,default,Moderate Fit,Consider if strong candidates are limited,Medium
113,Resume_6_Data_Entry_Analyst_Healthcare_skills,Medical_Billing_Data_Analyst_parsed_jd,medical billing data analyst,61.4,82,74,34,27,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
114,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Financial_Analyst_parsed_jd,healthcare financial analyst,61.35,90,65,53,12,default,Moderate Fit,Consider if strong candidates are limited,Medium
115,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Risk_Analyst_parsed_jd,healthcare risk analyst,61.3,82,83,34,13,default,Moderate Fit,Consider if strong candidates are limited,Medium
116,Resume_2_Clinical_Data_Analyst_skills,Biostatistician_parsed_jd,biostatistician,61.25,87,56,68,19,default,Moderate Fit,Consider if strong candidates are limited,Medium
117,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_AI_Analyst_parsed_jd,healthcare ai analyst,61.2,82,86,34,8,default,Moderate Fit,Consider if strong candidates are limited,Medium
118,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Dashboard_Developer_parsed_jd,healthcare dashboard developer,61.15,82,73,34,13,technical,Moderate Fit,Consider if strong candidates are limited,Medium
119,Resume_6_Data_Entry_Analyst_Healthcare_skills,Health_Informatics_Specialist_parsed_jd,health informatics specialist,61.1,82,77,34,21,default,Moderate Fit,Consider if strong candidates are limited,Medium
120,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Operations_Analyst_parsed_jd,healthcare operations analyst,61.1,82,83,34,12,default,Moderate Fit,Consider if strong candidates are limited,Medium
121,Resume_6_Data_Entry_Analyst_Healthcare_skills,Telehealth_Data_Analyst_parsed_jd,telehealth data analyst,61.1,82,83,34,12,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
122,Resume_3_Healthcare_Reporting_Analyst_skills,Health_Policy_Analyst_parsed_jd,health policy analyst,61.05,90,68,53,6,default,Moderate Fit,Consider if strong candidates are limited,Medium
123,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Business_Analyst_parsed_jd,healthcare business analyst,60.95,90,65,53,10,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
124,Resume_6_Data_Entry_Analyst_Healthcare_skills,Digital_Health_Analyst_parsed_jd,digital health analyst,60.9,82,79,34,17,default,Moderate Fit,Consider if strong candidates are limited,Medium
125,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Financial_Analyst_parsed_jd,healthcare financial analyst,60.9,82,83,34,11,default,Moderate Fit,Consider if strong candidates are limited,Medium
126,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Reporting_Analyst_parsed_jd,healthcare reporting analyst,60.9,82,83,34,11,default,Moderate Fit,Consider if strong candidates are limited,Medium
127,Resume_6_Data_Entry_Analyst_Healthcare_skills,Claims_Data_Analyst_Insurance_parsed_jd,claims data analyst,60.7,82,77,34,19,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
128,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare BI (Business Intelligence) Analyst_parsed_jd,healthcare bi (business intelligence) analyst,60.7,82,83,34,10,default,Moderate Fit,Consider if strong candidates are limited,Medium
129,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Analytics_Consultant_parsed_jd,healthcare analytics consultant,60.7,82,81,34,13,default,Moderate Fit,Consider if strong candidates are limited,Medium
130,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Machine_Learning_Engineer_parsed_jd,healthcare machine learning engineer,60.65,90,53,53,8,technical,Moderate Fit,Consider if strong candidates are limited,Medium
131,Resume_1_Healthcare_Data_Analyst_Junior_skills,Global_Health_Data_Analyst_parsed_jd,global health data analyst,60.55,90,53,53,26,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
132,Resume_3_Healthcare_Reporting_Analyst_skills,Digital_Health_Analyst_parsed_jd,digital health analyst,60.35,90,59,53,16,default,Moderate Fit,Consider if strong candidates are limited,Medium
133,Resume_2_Clinical_Data_Analyst_skills,Head_of_Health_Informatics_parsed_jd,head of health informatics,60.3,87,60,68,17,senior,Moderate Fit,Consider if strong candidates are limited,Medium
134,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Data_Scientist_parsed_jd,healthcare data scientist,60.25,90,37,53,26,technical,Moderate Fit,Consider if strong candidates are limited,Medium
135,Resume_1_Healthcare_Data_Analyst_Junior_skills,public_health_data_analyst_entrylevel_parsed_jd,public health data analyst (entry-level),60.25,90,54,53,23,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
136,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Performance_Analyst_parsed_jd,healthcare performance analyst,60.2,82,80,34,12,default,Moderate Fit,Consider if strong candidates are limited,Medium
137,Resume_3_Healthcare_Reporting_Analyst_skills,Telehealth_Data_Analyst_parsed_jd,telehealth data analyst,60.15,90,57,53,18,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
138,Resume_3_Healthcare_Reporting_Analyst_skills,quality improvement analyst (healthcare)_parsed_jd,quality improvement analyst (healthcare),60.15,90,63,53,9,default,Moderate Fit,Consider if strong candidates are limited,Medium
139,Resume_6_Data_Entry_Analyst_Healthcare_skills,Healthcare_Machine_Learning_Engineer_parsed_jd,healthcare machine learning engineer,60.1,82,76,34,4,technical,Moderate Fit,Consider if strong candidates are limited,Medium
140,Resume_3_Healthcare_Reporting_Analyst_skills,public_health_data_analyst_entrylevel_parsed_jd,public health data analyst (entry-level),60.05,90,60,53,13,mid_level,Moderate Fit,Consider if strong candidates are limited,Medium
141,Resume_3_Healthcare_Reporting_Analyst_skills,Clinical_Data_Scientist_parsed_jd,clinical data scientist,60.0,90,44,53,16,technical,Moderate Fit,Consider if strong candidates are limited,Medium
